position,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
left,"0.4414631724357605,0.28704771399497986,-0.33915725350379944","0.4484442472457886,0.25702977180480957,-0.3050765097141266","0.4530086815357208,0.25599268078804016,-0.3050887882709503","0.4572685956954956,0.2552052140235901,-0.30520498752593994","0.43038299679756165,0.26064974069595337,-0.31574001908302307","0.423799991607666,0.2622494697570801,-0.3158344626426697","0.4181217849254608,0.263778418302536,-0.316009521484375","0.46294739842414856,0.26027268171310425,-0.1356833577156067","0.4117872416973114,0.2746365964412689,-0.18312300741672516","0.4507850110530853,0.3092154264450073,-0.27593404054641724","0.43070733547210693,0.3186017870903015,-0.29022255539894104","0.5064038634300232,0.42770838737487793,-0.02879999205470085","0.38503971695899963,0.41804039478302,-0.24685798585414886","0.5263047814369202,0.6102069616317749,-0.03505662456154823","0.42967143654823303,0.4236835241317749,-0.5333889126777649","0.5548250675201416,0.7767022848129272,-0.06471481174230576","0.5332486629486084,0.3511520326137543,-0.6542320847511292","0.563228189945221,0.8308725953102112,-0.08325541019439697","0.5644582509994507,0.3274841010570526,-0.7029222846031189","0.5556783676147461,0.8316484093666077,-0.09574087709188461","0.5677314400672913,0.3160785138607025,-0.6781172156333923","0.5497520565986633,0.8146223425865173,-0.07207757979631424","0.560127854347229,0.3214488923549652,-0.6472271084785461","0.4904067814350128,0.7694957256317139,0.04891020804643631","0.4165954291820526,0.7727043032646179,-0.0485713966190815","0.5029711723327637,1.009375810623169,-0.01945989765226841","0.4057638943195343,1.022129774093628,0.01326707936823368","0.5057512521743774,1.228041648864746,0.299466997385025","0.40468767285346985,1.2358405590057373,0.3574974834918976","0.4987294375896454,1.2607762813568115,0.3243711590766907","0.4091549515724182,1.2663705348968506,0.38598039746284485","0.5262769460678101,1.3072930574417114,0.1826140433549881","0.40651559829711914,1.3197004795074463,0.22667072713375092"
left,"0.4409016966819763,0.286953866481781,-0.31264033913612366","0.44806337356567383,0.2570386230945587,-0.28197595477104187","0.45285695791244507,0.2560868263244629,-0.2820032238960266","0.4571024775505066,0.2555459141731262,-0.2820587754249573","0.4297274947166443,0.26064813137054443,-0.28635212779045105","0.42338356375694275,0.2622579038143158,-0.2864138185977936","0.41786038875579834,0.2638393044471741,-0.28657329082489014","0.4629150629043579,0.26246434450149536,-0.11388882994651794","0.4118455648422241,0.27507448196411133,-0.13223230838775635","0.4509190022945404,0.31028515100479126,-0.24973273277282715","0.4306553304195404,0.31859976053237915,-0.25581976771354675","0.5115301609039307,0.4288131296634674,-0.011765411123633385","0.3850981593132019,0.41652587056159973,-0.18189004063606262","0.528209924697876,0.6214081645011902,0.02023782581090927","0.42949000000953674,0.42244088649749756,-0.4770786166191101","0.5548421740531921,0.7829513549804688,0.005348926410079002","0.531773567199707,0.34567201137542725,-0.656271755695343","0.564143180847168,0.8369402289390564,-0.009507301263511181","0.5645644664764404,0.31985729932785034,-0.7097972631454468","0.5560262799263,0.838069498538971,-0.029078444465994835","0.5677192807197571,0.30885422229766846,-0.6877221465110779","0.5497960448265076,0.8204512596130371,-0.002080479171127081","0.5597700476646423,0.3145543336868286,-0.6508356332778931","0.4919140636920929,0.7980648279190063,0.044631876051425934","0.4164462387561798,0.7998455762863159,-0.04419945552945137","0.5026515126228333,1.0810015201568604,-0.034832295030355453","0.40775755047798157,1.1011910438537598,0.00014031633327249438","0.5051872134208679,1.3126062154769897,0.2611175775527954","0.4046485126018524,1.3018509149551392,0.3836483061313629","0.4988827109336853,1.3504600524902344,0.28354278206825256","0.40740254521369934,1.3320589065551758,0.4171002209186554","0.5168939232826233,1.3962327241897583,0.12259988486766815","0.4078601896762848,1.38206148147583,0.25923997163772583"
left,"0.44049060344696045,0.28566232323646545,-0.30613043904304504","0.4478563964366913,0.2569272220134735,-0.274535596370697","0.45276370644569397,0.25608861446380615,-0.2745903432369232","0.45700258016586304,0.25568631291389465,-0.27465417981147766","0.4293379783630371,0.25994977355003357,-0.28021150827407837","0.4230344593524933,0.26158738136291504,-0.2803231179714203","0.41753944754600525,0.2633223235607147,-0.28049054741859436","0.4629047214984894,0.26364967226982117,-0.10221824795007706","0.4118254482746124,0.2750747799873352,-0.12867014110088348","0.4509236514568329,0.3102433979511261,-0.24144978821277618","0.430510014295578,0.3176150619983673,-0.2497413456439972","0.5125647187232971,0.42821019887924194,-0.00027470666100271046","0.3844467103481293,0.41428786516189575,-0.17824088037014008","0.5296080708503723,0.6211727857589722,0.03654763847589493","0.42949041724205017,0.4200921654701233,-0.47889992594718933","0.5549219846725464,0.7829115390777588,0.02002188190817833","0.5317908525466919,0.34449899196624756,-0.6633965969085693","0.5647577047348022,0.8369699716567993,0.004843994043767452","0.5649892687797546,0.3164193630218506,-0.7192612886428833","0.5571409463882446,0.8385856747627258,-0.015530230477452278","0.5677129030227661,0.30405011773109436,-0.6969387531280518","0.5510388612747192,0.8208321332931519,0.012510454282164574","0.5597286820411682,0.3113355040550232,-0.6582458019256592","0.4924722909927368,0.8012491464614868,0.0434454083442688","0.41624945402145386,0.8054923415184021,-0.043027762323617935","0.5024945735931396,1.0845372676849365,-0.04299750551581383","0.4047538936138153,1.0771466493606567,0.0011231639655306935","0.5036545395851135,1.3168578147888184,0.2702760696411133","0.4046483337879181,1.3064398765563965,0.4621419608592987","0.49855417013168335,1.3542879819869995,0.29478567838668823","0.40648719668388367,1.3337674140930176,0.5036699771881104","0.5113183259963989,1.4007420539855957,0.1401750147342682","0.4105856120586395,1.3865232467651367,0.35476768016815186"
left,"0.44036778807640076,0.28545644879341125,-0.3101646602153778","0.44776344299316406,0.2569373846054077,-0.2786392271518707","0.4527447819709778,0.2561872899532318,-0.27869242429733276","0.45698991417884827,0.2558844983577728,-0.278773695230484","0.42909327149391174,0.2599483132362366,-0.28308331966400146","0.4228252172470093,0.26157766580581665,-0.2831854820251465","0.4173329472541809,0.26331740617752075,-0.28335171937942505","0.46295568346977234,0.2640742361545563,-0.10808955132961273","0.411836713552475,0.2753727436065674,-0.12672387063503265","0.45108020305633545,0.31027162075042725,-0.24635712802410126","0.43050283193588257,0.31713128089904785,-0.2526903748512268","0.5149610042572021,0.4278709888458252,-0.004974073730409145","0.38461020588874817,0.4141122102737427,-0.17317526042461395","0.5326970815658569,0.6210727095603943,0.016445832327008247","0.4303489625453949,0.4175674021244049,-0.4777965843677521","0.5548952221870422,0.7834476828575134,0.002071216469630599","0.5322152376174927,0.34153109788894653,-0.6808071136474609","0.565189003944397,0.8372268080711365,-0.01492876373231411","0.5660874247550964,0.31365570425987244,-0.7397544384002686","0.5575650930404663,0.838905930519104,-0.03466183692216873","0.5677322149276733,0.30159854888916016,-0.7198242545127869","0.5512630939483643,0.8215571641921997,-0.005197243299335241","0.5599128007888794,0.30920863151550293,-0.677756130695343","0.49463748931884766,0.805634081363678,0.03842390328645706","0.41636472940444946,0.8102636337280273,-0.03800385817885399","0.5041926503181458,1.0838958024978638,-0.06289622187614441","0.40357932448387146,1.0671478509902954,0.015545088797807693","0.5045983791351318,1.3084105253219604,0.22830744087696075","0.406047523021698,1.2965120077133179,0.486610472202301","0.49976271390914917,1.3466591835021973,0.25138601660728455","0.4071316123008728,1.3226555585861206,0.5288125276565552","0.5121720433235168,1.3899041414260864,0.09240998327732086","0.41454094648361206,1.3773534297943115,0.3819884657859802"
left,"0.4398789703845978,0.2853948175907135,-0.3097464442253113","0.4475192725658417,0.256944864988327,-0.2784911096096039","0.45266756415367126,0.2562554180622101,-0.27855291962623596","0.456927627325058,0.256050705909729,-0.27863821387290955","0.42865756154060364,0.2599480152130127,-0.2820313572883606","0.4224343001842499,0.2615721523761749,-0.2821287512779236","0.4169716536998749,0.26331812143325806,-0.2822970747947693","0.4630207121372223,0.2645951509475708,-0.10783100873231888","0.41183093190193176,0.2755565643310547,-0.1225060448050499","0.45114433765411377,0.3105289041996002,-0.245826855301857","0.43036121129989624,0.31700265407562256,-0.25085026025772095","0.5162585973739624,0.4271705746650696,-0.007917625829577446","0.38461244106292725,0.4140709638595581,-0.17193418741226196","0.5334797501564026,0.6211557388305664,0.009281394071877003","0.43024730682373047,0.4160279929637909,-0.4842107594013214","0.5556528568267822,0.7833989858627319,-0.010229622013866901","0.5321952700614929,0.33914265036582947,-0.6904333829879761","0.5666142106056213,0.8371120095252991,-0.028272219002246857","0.566077470779419,0.3121236562728882,-0.7501723766326904","0.5583788752555847,0.8388498425483704,-0.04581153020262718","0.5676127672195435,0.29902568459510803,-0.7283214926719666","0.5519717335700989,0.8214156627655029,-0.017749695107340813","0.5599106550216675,0.306194931268692,-0.6865456104278564","0.4957519769668579,0.8107543587684631,0.038019634783267975","0.41651445627212524,0.8154057264328003,-0.03759387508034706","0.5051281452178955,1.0905343294143677,-0.05497463047504425","0.40107032656669617,1.0752649307250977,0.015886230394244194","0.5059352517127991,1.3261765241622925,0.24223731458187103","0.405599981546402,1.3166983127593994,0.46528103947639465","0.5017334222793579,1.3657695055007935,0.26579493284225464","0.4060875475406647,1.3433210849761963,0.5053187608718872","0.5132865309715271,1.407993197441101,0.10817908495664597","0.41418740153312683,1.3985745906829834,0.35498443245887756"
left,"0.4396389126777649,0.2839834690093994,-0.3073754906654358","0.44725462794303894,0.25633716583251953,-0.27584409713745117","0.4525620639324188,0.2559063732624054,-0.27590420842170715","0.45681655406951904,0.2559009790420532,-0.2759806513786316","0.42837151885032654,0.2590300440788269,-0.2780861258506775","0.42220598459243774,0.2606898248195648,-0.27819618582725525","0.41673967242240906,0.26259544491767883,-0.27837079763412476","0.46301567554473877,0.26466086506843567,-0.10563149303197861","0.4118204414844513,0.2755471467971802,-0.11511281877756119","0.45117250084877014,0.31041330099105835,-0.24396640062332153","0.43027061223983765,0.31586918234825134,-0.2474297136068344","0.5172160267829895,0.4288142919540405,-0.008561612106859684","0.3846176564693451,0.4140087068080902,-0.16367796063423157","0.5351988077163696,0.6220425963401794,0.0057364762760698795","0.4284168779850006,0.41542789340019226,-0.46527156233787537","0.5571191906929016,0.783694326877594,-0.015434294007718563","0.5321734547615051,0.3390595316886902,-0.6807255148887634","0.5682733654975891,0.8373536467552185,-0.03385390713810921","0.5661311745643616,0.31180551648139954,-0.7486317753791809","0.5592526793479919,0.8389796018600464,-0.050600338727235794","0.5676116347312927,0.299185574054718,-0.726105809211731","0.5528412461280823,0.8222538232803345,-0.022978028282523155","0.5599107146263123,0.30654460191726685,-0.6783252954483032","0.4963354766368866,0.8129690885543823,0.03754693269729614","0.41652268171310425,0.8172732591629028,-0.03714124485850334","0.5051050782203674,1.0954803228378296,-0.0642174482345581","0.4004616141319275,1.078276515007019,0.0046841176226735115","0.5050405859947205,1.3339176177978516,0.23730391263961792","0.4055628478527069,1.3243207931518555,0.4579898416996002","0.5009817481040955,1.373104453086853,0.2613038718700409","0.40577569603919983,1.3501921892166138,0.49867740273475647","0.5128411054611206,1.4163912534713745,0.10204245150089264","0.4144650399684906,1.4064139127731323,0.34849876165390015"
left,"0.44000422954559326,0.28406956791877747,-0.30963829159736633","0.4473779499530792,0.2563982605934143,-0.2777906060218811","0.45266208052635193,0.2560580372810364,-0.2778443992137909","0.45686739683151245,0.2561519145965576,-0.27792495489120483","0.42852967977523804,0.2590336501598358,-0.28102636337280273","0.4223807752132416,0.2606917917728424,-0.28112807869911194","0.4168502986431122,0.26259666681289673,-0.28130394220352173","0.46300145983695984,0.26530349254608154,-0.10695400089025497","0.4118782579898834,0.2756854295730591,-0.12130343168973923","0.4515654444694519,0.31073883175849915,-0.2459900975227356","0.4305378496646881,0.31587159633636475,-0.25072965025901794","0.51716548204422,0.4300800561904907,-0.008555264212191105","0.38456040620803833,0.41375842690467834,-0.17108885943889618","0.5352652668952942,0.6244139671325684,0.010199952870607376","0.4262407422065735,0.4154607355594635,-0.46598511934280396","0.5577200651168823,0.7870092988014221,-0.011072266846895218","0.5320364832878113,0.33918556571006775,-0.6746727228164673","0.5685218572616577,0.8398751616477966,-0.02972412109375","0.5661330819129944,0.3122282028198242,-0.7470184564590454","0.5600458979606628,0.8410202264785767,-0.05039991810917854","0.5675432682037354,0.29969072341918945,-0.7209940552711487","0.5535657405853271,0.8250057101249695,-0.019252339377999306","0.5598669648170471,0.30663368105888367,-0.673280656337738","0.4962538480758667,0.815514087677002,0.03732677176594734","0.4163946807384491,0.8190016746520996,-0.036948077380657196","0.5050761103630066,1.0927239656448364,-0.0747993066906929","0.4004829525947571,1.0775084495544434,-0.006758971139788628","0.5029237866401672,1.325323224067688,0.23083344101905823","0.40435513854026794,1.31270432472229,0.4773056209087372","0.49753352999687195,1.3625502586364746,0.2554839551448822","0.40428200364112854,1.3385497331619263,0.5226238369941711","0.5129196047782898,1.409424901008606,0.10128038376569748","0.41386303305625916,1.39529287815094,0.384452223777771"
left,"0.4455186128616333,0.28374865651130676,-0.310881644487381","0.450321227312088,0.256076842546463,-0.2771349549293518","0.45476531982421875,0.25580865144729614,-0.2771840989589691","0.4590001404285431,0.25590234994888306,-0.2772613763809204","0.43288454413414,0.25820091366767883,-0.28308045864105225","0.4261074364185333,0.2596353590488434,-0.28318488597869873","0.42002299427986145,0.26146307587623596,-0.2833611071109772","0.46334871649742126,0.26512131094932556,-0.09509599208831787","0.41230982542037964,0.27495118975639343,-0.12734882533550262","0.454614520072937,0.3106262981891632,-0.24440433084964752","0.4349743127822876,0.31528520584106445,-0.25313061475753784","0.5166776776313782,0.4290504455566406,0.014851345680654049","0.38434526324272156,0.4127304255962372,-0.17670020461082458","0.5350242853164673,0.62412029504776,0.045385584235191345","0.425628125667572,0.41550520062446594,-0.499092698097229","0.5582355856895447,0.7872552871704102,0.017707405611872673","0.5319303274154663,0.33612513542175293,-0.7060433030128479","0.5685262084007263,0.8410031199455261,-0.0025872918777167797","0.5661482214927673,0.31092190742492676,-0.7692233920097351","0.5603246688842773,0.8413742184638977,-0.024980314075946808","0.5672400593757629,0.29542383551597595,-0.7481996417045593","0.5540405511856079,0.8252582550048828,0.008925122208893299","0.5593645572662354,0.3018268942832947,-0.702292263507843","0.4961761236190796,0.8149117231369019,0.04191754013299942","0.4160690903663635,0.8187718987464905,-0.04159379005432129","0.5048497319221497,1.088193416595459,-0.06586816161870956","0.40058332681655884,1.0755932331085205,-0.009940749034285545","0.5004563331604004,1.3207035064697266,0.2382543385028839","0.40422323346138,1.3117523193359375,0.4610186219215393","0.4948156177997589,1.3581113815307617,0.2619599401950836","0.403701514005661,1.336377739906311,0.5034759640693665","0.5106626152992249,1.4022104740142822,0.11105813831090927","0.41390031576156616,1.3944878578186035,0.3566681146621704"
left,"0.4509328305721283,0.28376102447509766,-0.3029918074607849","0.45284879207611084,0.25604987144470215,-0.26640164852142334","0.4566185176372528,0.2557600140571594,-0.266456663608551","0.4605763852596283,0.25581827759742737,-0.26652228832244873","0.43762826919555664,0.2581813335418701,-0.2762189507484436","0.4307398796081543,0.25961822271347046,-0.27631843090057373","0.42425909638404846,0.2614605724811554,-0.27649033069610596","0.4633588194847107,0.2650938928127289,-0.07973723858594894","0.4128929376602173,0.2752441167831421,-0.1254771500825882","0.45784294605255127,0.31062448024749756,-0.23405997455120087","0.4407978057861328,0.31520161032676697,-0.24742449820041656","0.5158165693283081,0.4292865991592407,0.0253712460398674","0.3837011754512787,0.4134330451488495,-0.1811838448047638","0.5351346135139465,0.6235041618347168,0.043358996510505676","0.42570602893829346,0.4155522286891937,-0.5057430267333984","0.5591750741004944,0.787197470664978,0.00467210216447711","0.5319578647613525,0.3326173424720764,-0.6951087713241577","0.5685761570930481,0.8413311243057251,-0.013730061240494251","0.5660333037376404,0.3076251149177551,-0.7550439834594727","0.5613041520118713,0.8417436480522156,-0.03134487196803093","0.56621253490448,0.2921433746814728,-0.7338259220123291","0.5556842088699341,0.8256637454032898,-0.003500589169561863","0.5583656430244446,0.2987353503704071,-0.6906525492668152","0.49583569169044495,0.8174942135810852,0.044233307242393494","0.4152336120605469,0.8208775520324707,-0.043933503329753876","0.5033004879951477,1.094232201576233,-0.0813831090927124","0.4006408154964447,1.0784797668457031,-0.04929346591234207","0.49375632405281067,1.3278917074203491,0.2338278889656067","0.40384504199028015,1.3220131397247314,0.4034450352191925","0.4871920347213745,1.3641020059585571,0.25908687710762024","0.4026626944541931,1.345572829246521,0.4449443817138672","0.5042755603790283,1.4104914665222168,0.10841163992881775","0.4137713611125946,1.4054412841796875,0.2988678812980652"
left,"0.4542468190193176,0.2837207317352295,-0.2815164625644684","0.45546403527259827,0.2559134364128113,-0.24486058950424194","0.4590701758861542,0.2556264400482178,-0.24494074285030365","0.46274110674858093,0.2556847035884857,-0.24504230916500092","0.4414999186992645,0.25794556736946106,-0.25641462206840515","0.4347546696662903,0.25935080647468567,-0.2565012276172638","0.42833513021469116,0.2611796259880066,-0.25668200850486755","0.4637260437011719,0.26505571603775024,-0.0649871975183487","0.41442298889160156,0.2752501368522644,-0.11668893694877625","0.4603291451931,0.31063368916511536,-0.21472765505313873","0.4446287751197815,0.31513771414756775,-0.23020152747631073","0.5151159167289734,0.4299096167087555,0.031655438244342804","0.3837067186832428,0.4148150086402893,-0.18429869413375854","0.5351266264915466,0.62327641248703,0.04660528153181076","0.42575928568840027,0.4189172685146332,-0.5052767395973206","0.5591334104537964,0.7873644828796387,0.004799438640475273","0.532157838344574,0.332748681306839,-0.6719374060630798","0.5681315660476685,0.8424901962280273,-0.014304217882454395","0.5659310221672058,0.30821651220321655,-0.7285483479499817","0.5615140199661255,0.8425240516662598,-0.03381047025322914","0.5657480955123901,0.29292529821395874,-0.706152081489563","0.5559464693069458,0.8267063498497009,-0.003793557872995734","0.5577300786972046,0.2996184527873993,-0.6661499738693237","0.4952930510044098,0.8230180740356445,0.04585815221071243","0.414272278547287,0.8244718909263611,-0.04556896165013313","0.5017042756080627,1.0980201959609985,-0.08829832077026367","0.4092230200767517,1.133347988128662,-0.06772617250680923","0.4870619773864746,1.3246091604232788,0.24006333947181702","0.40337225794792175,1.3162744045257568,0.39864248037338257","0.4793410897254944,1.3591195344924927,0.2635641396045685","0.4017329514026642,1.3417279720306396,0.4425768554210663","0.4981488287448883,1.4085990190505981,0.13420358300209045","0.4131987690925598,1.399531364440918,0.3016439378261566"
