position,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
left,"0.4079001843929291,0.2884705364704132,-0.346129447221756","0.4185471534729004,0.26677602529525757,-0.32433363795280457","0.4238141179084778,0.26705849170684814,-0.32440340518951416","0.42787763476371765,0.26706254482269287,-0.3244313597679138","0.4008927345275879,0.26678264141082764,-0.3256019651889801","0.39528340101242065,0.2667277157306671,-0.3255680501461029","0.3900485634803772,0.2665430009365082,-0.32561543583869934","0.4352411925792694,0.2746492922306061,-0.17721028625965118","0.3836910128593445,0.27368414402008057,-0.18453139066696167","0.41878849267959595,0.31528326869010925,-0.2913021445274353","0.396677166223526,0.31631526350975037,-0.29311564564704895","0.4739917814731598,0.4049910306930542,-0.0720483586192131","0.34432166814804077,0.4219124913215637,-0.08731374889612198","0.5503624081611633,0.45542222261428833,-0.21499095857143402","0.31931072473526,0.6256886720657349,-0.014345284551382065","0.5778327584266663,0.3026348650455475,-0.5146232843399048","0.3101730942726135,0.801637589931488,-0.043109577149152756","0.5897442102432251,0.25021398067474365,-0.5757527947425842","0.30372583866119385,0.8504422307014465,-0.04686261713504791","0.5861552953720093,0.2440282255411148,-0.5760961174964905","0.31208038330078125,0.856419563293457,-0.0856880322098732","0.578471302986145,0.26384642720222473,-0.524795651435852","0.3176615536212921,0.8423707485198975,-0.0559760220348835","0.45446720719337463,0.7533313632011414,0.003907252103090286","0.37731239199638367,0.7599827647209167,-0.0035808959510177374","0.45327386260032654,0.9952590465545654,-0.014065992087125778","0.37254002690315247,1.0102380514144897,-0.024074047803878784","0.46168920397758484,1.1996426582336426,0.3029320538043976","0.37135109305381775,1.2108380794525146,0.23015861213207245","0.4593987464904785,1.22200608253479,0.32926756143569946","0.37146419286727905,1.2317343950271606,0.2518394887447357","0.4656524658203125,1.280102014541626,0.20641520619392395","0.38553568720817566,1.2974293231964111,0.09855953603982925"
left,"0.40825194120407104,0.2886791229248047,-0.40147799253463745","0.4185471534729004,0.2666979730129242,-0.3807457387447357","0.42380306124687195,0.2670103907585144,-0.38078993558883667","0.4279341995716095,0.2670571506023407,-0.3808514177799225","0.40108147263526917,0.266400009393692,-0.3836174011230469","0.39560839533805847,0.2661800682544708,-0.3835891783237457","0.3904798924922943,0.2658340036869049,-0.38362836837768555","0.43523770570755005,0.2761576473712921,-0.23204264044761658","0.38371121883392334,0.2736893892288208,-0.24631859362125397","0.41888073086738586,0.31561633944511414,-0.34482210874557495","0.3971526026725769,0.3163073658943176,-0.3488658666610718","0.4741467535495758,0.40184006094932556,-0.11821269989013672","0.34437230229377747,0.42499029636383057,-0.1356423795223236","0.5524327158927917,0.44882503151893616,-0.2464916855096817","0.31988632678985596,0.62563556432724,-0.023141328245401382","0.580314040184021,0.2958744168281555,-0.5223006010055542","0.3118174970149994,0.8013790845870972,-0.02553059533238411","0.594364583492279,0.2416289746761322,-0.5786943435668945","0.3040500581264496,0.8503918051719666,-0.020748110488057137","0.5892807245254517,0.23429284989833832,-0.5786300301551819","0.31431323289871216,0.856034517288208,-0.06278804689645767","0.5808913707733154,0.2564055323600769,-0.5312331914901733","0.3195189833641052,0.840763509273529,-0.03780175745487213","0.45557814836502075,0.7518840432167053,0.003877032548189163","0.37847036123275757,0.7594718933105469,-0.003553761402145028","0.4541594088077545,0.9940905570983887,-0.027544766664505005","0.3743785619735718,1.0081353187561035,-0.02507087029516697","0.4635084569454193,1.2067562341690063,0.286809504032135","0.37326449155807495,1.2082266807556152,0.2747601270675659","0.4604443311691284,1.2327603101730347,0.3123253285884857","0.37418094277381897,1.228600025177002,0.30224987864494324","0.470357745885849,1.2882691621780396,0.18847815692424774","0.38553687930107117,1.2953417301177979,0.1599084436893463"
left,"0.4082202911376953,0.28918319940567017,-0.43590161204338074","0.41831400990486145,0.2667173743247986,-0.4165659248828888","0.42351487278938293,0.2670636773109436,-0.41659751534461975","0.4278629720211029,0.2672102749347687,-0.41665372252464294","0.40109768509864807,0.26638150215148926,-0.4188440442085266","0.3957415521144867,0.26612725853919983,-0.41884320974349976","0.3908012807369232,0.2657332420349121,-0.4188857078552246","0.4352368414402008,0.27799952030181885,-0.2701902985572815","0.384042352437973,0.2739589214324951,-0.2815440893173218","0.4188070595264435,0.3161868453025818,-0.3798375725746155","0.39717766642570496,0.3164161741733551,-0.3831568956375122","0.4752766191959381,0.40178099274635315,-0.15542425215244293","0.34537869691848755,0.4276283383369446,-0.16593851149082184","0.5530968308448792,0.4428364038467407,-0.2867416441440582","0.3228219151496887,0.6254509091377258,-0.03667326271533966","0.5833065509796143,0.28683435916900635,-0.5559340119361877","0.31505221128463745,0.8013806939125061,-0.02006969414651394","0.5978568196296692,0.233810693025589,-0.6104757785797119","0.30645546317100525,0.8503788709640503,-0.013108023442327976","0.5918271541595459,0.226699098944664,-0.6121072769165039","0.3172829747200012,0.8555380702018738,-0.057141926139593124","0.5838700532913208,0.24869994819164276,-0.565859854221344","0.3218872845172882,0.8396952152252197,-0.03277621418237686","0.45674458146095276,0.7510876059532166,0.0032462733797729015","0.3801150321960449,0.7586225271224976,-0.0029461977537721395","0.45582520961761475,0.9923909306526184,-0.027089573442935944","0.375735342502594,1.0055989027023315,-0.020925436168909073","0.4687694311141968,1.2116984128952026,0.28687217831611633","0.3734741508960724,1.2082587480545044,0.276589035987854","0.46611303091049194,1.2390217781066895,0.3120971620082855","0.3744904696941376,1.22861909866333,0.30238592624664307","0.4761578440666199,1.2913938760757446,0.18320997059345245","0.38538017868995667,1.295283317565918,0.15292304754257202"
left,"0.40868866443634033,0.2893977165222168,-0.44291937351226807","0.41836944222450256,0.2667417526245117,-0.42264440655708313","0.4235483705997467,0.26710471510887146,-0.4226876199245453","0.42807310819625854,0.2673220932483673,-0.42275312542915344","0.401868611574173,0.26637792587280273,-0.42461535334587097","0.3968086838722229,0.26609471440315247,-0.42462077736854553","0.3922872543334961,0.26567530632019043,-0.42466747760772705","0.43580761551856995,0.2789343595504761,-0.2731733024120331","0.38520222902297974,0.27419376373291016,-0.2829148471355438","0.4191356599330902,0.3163697421550751,-0.38583773374557495","0.39827993512153625,0.31641602516174316,-0.388713002204895","0.4776938557624817,0.4013798236846924,-0.16030353307724","0.34684717655181885,0.4297580122947693,-0.16478730738162994","0.5543934106826782,0.4424037039279938,-0.30434131622314453","0.32625612616539,0.6248115301132202,-0.03820269927382469","0.5835541486740112,0.28766071796417236,-0.5920761227607727","0.31916794180870056,0.8000079393386841,-0.022851549088954926","0.5975550413131714,0.23415684700012207,-0.6509278416633606","0.3102642893791199,0.8493527770042419,-0.02027166448533535","0.5912598371505737,0.22601884603500366,-0.6497781276702881","0.3207649886608124,0.8531970977783203,-0.060181308537721634","0.5836308002471924,0.24844303727149963,-0.6011273860931396","0.3250562250614166,0.8367314338684082,-0.03520076349377632","0.45791536569595337,0.7501922249794006,-0.0002692838024813682","0.38209599256515503,0.7578887343406677,0.0005586532643064857","0.45772239565849304,0.9897992014884949,-0.04450439661741257","0.3756955862045288,1.0041134357452393,-0.012880467809736729","0.46963879466056824,1.219401478767395,0.27054938673973083","0.37485846877098083,1.2076187133789062,0.3133789598941803","0.46752509474754333,1.2477461099624634,0.29593756794929504","0.37607595324516296,1.2280436754226685,0.3427329957485199","0.4754014015197754,1.2987334728240967,0.16524745523929596","0.38580194115638733,1.2928986549377441,0.20110681653022766"
left,"0.4095054566860199,0.2894282042980194,-0.43256691098213196","0.41869813203811646,0.2666992247104645,-0.4119341969490051","0.42393988370895386,0.2670589089393616,-0.4119955003261566","0.4287777841091156,0.2672986090183258,-0.41205456852912903","0.40267375111579895,0.2662431001663208,-0.41383299231529236","0.3977152407169342,0.2658589482307434,-0.413823664188385","0.39345741271972656,0.2654023766517639,-0.41387292742729187","0.43673697113990784,0.2790047526359558,-0.26185569167137146","0.386370450258255,0.27420365810394287,-0.2708743214607239","0.41980454325675964,0.3163844645023346,-0.37551671266555786","0.39960092306137085,0.3163290321826935,-0.3781355917453766","0.4802402853965759,0.40045955777168274,-0.1518685668706894","0.349073201417923,0.43170979619026184,-0.15642239153385162","0.5543173551559448,0.4429289996623993,-0.3225143551826477","0.3290155231952667,0.6246048808097839,-0.03520641103386879","0.5831173658370972,0.294208824634552,-0.6486080884933472","0.3222530782222748,0.799347460269928,-0.02368452027440071","0.5935510396957397,0.23683445155620575,-0.7128655910491943","0.3137200176715851,0.8485969305038452,-0.020756490528583527","0.5864486694335938,0.22647593915462494,-0.7098098397254944","0.3229532241821289,0.8517617583274841,-0.0630309209227562","0.5801644921302795,0.251207560300827,-0.6578289866447449","0.3270777761936188,0.8353760838508606,-0.03635198250412941","0.45864057540893555,0.750108003616333,-0.0019533135928213596","0.3831782639026642,0.7575869560241699,0.0022495421580970287","0.4596075415611267,0.9888538718223572,-0.047300830483436584","0.37588736414909363,1.0032397508621216,-0.009889096021652222","0.4712966978549957,1.2200658321380615,0.26718994975090027","0.37647339701652527,1.2072361707687378,0.321084588766098","0.4695877730846405,1.2481577396392822,0.2925975024700165","0.377828449010849,1.2274768352508545,0.3510499894618988","0.47666147351264954,1.2989225387573242,0.16218774020671844","0.3864626884460449,1.291736364364624,0.20951376855373383"
left,"0.4098445475101471,0.2895946502685547,-0.4159356355667114","0.4187816381454468,0.2666984498500824,-0.395110160112381","0.4240210950374603,0.26705241203308105,-0.39516985416412354","0.42898836731910706,0.2672874331474304,-0.39522412419319153","0.40303927659988403,0.2662532925605774,-0.3971021771430969","0.39819076657295227,0.2658672332763672,-0.3970889449119568","0.39398473501205444,0.2654138207435608,-0.3971334993839264","0.43734294176101685,0.27909618616104126,-0.2463427484035492","0.3870912790298462,0.2746887505054474,-0.25639432668685913","0.4203091561794281,0.3164452612400055,-0.35955560207366943","0.40052327513694763,0.3163311779499054,-0.3623685836791992","0.48108625411987305,0.3995591104030609,-0.1374020129442215","0.3512909710407257,0.43325409293174744,-0.1451156735420227","0.5563783645629883,0.44262969493865967,-0.29421916604042053","0.3309764862060547,0.624572217464447,-0.017892636358737946","0.5830000638961792,0.28781014680862427,-0.5983545780181885","0.32444459199905396,0.799304187297821,0.005754369776695967","0.5918914675712585,0.23207363486289978,-0.6590917110443115","0.3159307539463043,0.8485603332519531,0.012873481027781963","0.5846760272979736,0.22064809501171112,-0.65749591588974","0.32481443881988525,0.8515273928642273,-0.030759913846850395","0.5795899033546448,0.24385197460651398,-0.6074463129043579","0.3290473520755768,0.8352323770523071,-0.006657873280346394","0.4594981074333191,0.749987006187439,-0.001737999264150858","0.38471630215644836,0.7572862505912781,0.0020328261889517307","0.4599741995334625,0.9889432787895203,-0.0422331877052784","0.3762266933917999,1.0030688047409058,-0.027335936203598976","0.47089406847953796,1.2194087505340576,0.2730318009853363","0.3769510090351105,1.2071529626846313,0.2973893880844116","0.46923816204071045,1.2466990947723389,0.29805049300193787","0.37802833318710327,1.2268695831298828,0.32386162877082825","0.4760246276855469,1.2986760139465332,0.16933505237102509","0.3881765305995941,1.2915986776351929,0.18139800429344177"
left,"0.4098557233810425,0.28966450691223145,-0.3882499039173126","0.4187914729118347,0.26665639877319336,-0.36702612042427063","0.4240301847457886,0.2670186460018158,-0.36709898710250854","0.4290434718132019,0.26726850867271423,-0.36717402935028076","0.4031151831150055,0.26620128750801086,-0.3689441978931427","0.3983190655708313,0.2658193111419678,-0.3689204454421997","0.3940906226634979,0.2653670608997345,-0.3689422905445099","0.4377523958683014,0.2793211042881012,-0.22052240371704102","0.387414813041687,0.2747640013694763,-0.230000838637352","0.4204927384853363,0.3165181279182434,-0.33256831765174866","0.4005843997001648,0.31633082032203674,-0.3353986442089081","0.48108190298080444,0.39881041646003723,-0.11701938509941101","0.35235270857810974,0.4334260821342468,-0.11432655900716782","0.5582922101020813,0.44109928607940674,-0.24805505573749542","0.33252230286598206,0.6242879033088684,0.0318283773958683","0.5823473334312439,0.2793474793434143,-0.5133198499679565","0.32586756348609924,0.7991657853126526,0.05942124128341675","0.589470624923706,0.2271973043680191,-0.5680726766586304","0.31690365076065063,0.848455548286438,0.06823703646659851","0.5817517042160034,0.2163560837507248,-0.5653696060180664","0.32569655776023865,0.851417601108551,0.02309899963438511","0.5775832533836365,0.23724405467510223,-0.5202929973602295","0.33018434047698975,0.8352136611938477,0.04656165465712547","0.4597388207912445,0.7497125267982483,-0.0023377984762191772","0.38528573513031006,0.7563520669937134,0.002634645439684391","0.4599848687648773,0.9888361096382141,-0.06037094444036484","0.37630289793014526,1.0014731884002686,-0.03399568051099777","0.4715041518211365,1.2188323736190796,0.24585093557834625","0.37745511531829834,1.20357346534729,0.28827059268951416","0.47027483582496643,1.245767593383789,0.27163824439048767","0.3784030079841614,1.2221112251281738,0.3156111538410187","0.4761638641357422,1.2980802059173584,0.1561700701713562","0.3890438377857208,1.2864962816238403,0.18492189049720764"
left,"0.41000527143478394,0.28969764709472656,-0.38832220435142517","0.4190140664577484,0.26663967967033386,-0.36731037497520447","0.4242277443408966,0.2670111060142517,-0.3673829138278961","0.42930248379707336,0.26726841926574707,-0.3674493432044983","0.40351739525794983,0.26611828804016113,-0.36909157037734985","0.39874663949012756,0.26569437980651855,-0.3690730631351471","0.39449775218963623,0.26519694924354553,-0.3691033720970154","0.43818607926368713,0.27960318326950073,-0.2202434092760086","0.3877997398376465,0.27474308013916016,-0.23008717596530914","0.42065975069999695,0.3165247142314911,-0.3328198492527008","0.40068337321281433,0.31625109910964966,-0.335440069437027","0.4809632897377014,0.39850103855133057,-0.11698637157678604","0.3525197207927704,0.43325069546699524,-0.11335206031799316","0.5593101978302002,0.4310327172279358,-0.24964097142219543","0.3320710361003876,0.622001588344574,0.03653817996382713","0.5809524655342102,0.2664949893951416,-0.5274881720542908","0.3265266716480255,0.7976319193840027,0.07139583677053452","0.5852257609367371,0.21871855854988098,-0.5841959714889526","0.31730905175209045,0.847280740737915,0.081163190305233","0.577635645866394,0.2094184309244156,-0.5814828872680664","0.32587704062461853,0.8504259586334229,0.03592048957943916","0.5744820237159729,0.22876514494419098,-0.5351450443267822","0.3305779695510864,0.834019124507904,0.05851355940103531","0.45988211035728455,0.7477226257324219,-0.003246302017942071","0.38623014092445374,0.7548311948776245,0.0035251893568784","0.46012240648269653,0.9860284924507141,-0.054502326995134354","0.37670719623565674,0.9997872710227966,-0.03784595802426338","0.47273460030555725,1.2102667093276978,0.2581700086593628","0.3773778975009918,1.1977626085281372,0.27314993739128113","0.4717269539833069,1.2369837760925293,0.2842727601528168","0.3785087764263153,1.216667652130127,0.30134862661361694","0.47820085287094116,1.2879626750946045,0.16128812730312347","0.3873220980167389,1.2800370454788208,0.18067476153373718"
left,"0.4102305471897125,0.28969842195510864,-0.392751544713974","0.4192076027393341,0.26648467779159546,-0.37153980135917664","0.4243885576725006,0.26683133840560913,-0.37159648537635803","0.4294772148132324,0.26706305146217346,-0.37168148159980774","0.403624564409256,0.2660248875617981,-0.374444842338562","0.3988357186317444,0.26563793420791626,-0.37440961599349976","0.3945173919200897,0.2651529014110565,-0.3744390308856964","0.43830233812332153,0.27959609031677246,-0.22487574815750122","0.3878082036972046,0.2747853696346283,-0.23982304334640503","0.42091113328933716,0.31651294231414795,-0.3373647630214691","0.400900274515152,0.31624865531921387,-0.34155765175819397","0.48096975684165955,0.39819756150245667,-0.12349557131528854","0.3523343503475189,0.43353283405303955,-0.1308746188879013","0.5591754913330078,0.4322749972343445,-0.2754541039466858","0.3316931426525116,0.6224918365478516,0.008665799163281918","0.5800902247428894,0.2691574990749359,-0.56630539894104","0.3257058560848236,0.7977320551872253,0.0387386754155159","0.583145797252655,0.2197594940662384,-0.6232630610466003","0.3169191777706146,0.8473131656646729,0.04361069202423096","0.5758959054946899,0.210956409573555,-0.6177685856819153","0.32545897364616394,0.8504679799079895,-0.0002333275624550879","0.5730573534965515,0.231246680021286,-0.5734578371047974","0.33010613918304443,0.8340415358543396,0.025276945903897285","0.45991092920303345,0.7476773262023926,-0.0025507460813969374","0.3863373398780823,0.7544101476669312,0.002774811116978526","0.4600267708301544,0.9856292605400085,-0.042788852006196976","0.3771393895149231,0.9986206293106079,-0.04409964382648468","0.47255510091781616,1.2002513408660889,0.2851760983467102","0.37733715772628784,1.190674901008606,0.2736264169216156","0.47157445549964905,1.224828839302063,0.3136979639530182","0.3784087300300598,1.2071765661239624,0.3030572235584259","0.4779307246208191,1.2772761583328247,0.2025790512561798","0.38769227266311646,1.2732117176055908,0.1781352013349533"
left,"0.4102258086204529,0.29042327404022217,-0.4227919280529022","0.4192098081111908,0.26662635803222656,-0.4040267765522003","0.4243859350681305,0.26697686314582825,-0.40405112504959106","0.4294639527797699,0.26724979281425476,-0.4041281044483185","0.4036203622817993,0.2661566436290741,-0.40547773241996765","0.39882928133010864,0.26577529311180115,-0.40547439455986023","0.3944935202598572,0.26529011130332947,-0.4055406451225281","0.4382256269454956,0.27996137738227844,-0.26086530089378357","0.3878006637096405,0.2751149833202362,-0.268351674079895","0.42088890075683594,0.31720465421676636,-0.3677789568901062","0.4008776843547821,0.31675222516059875,-0.3699788451194763","0.48079198598861694,0.39819052815437317,-0.15043851733207703","0.35218602418899536,0.4327133297920227,-0.1562918871641159","0.5548694729804993,0.4360935688018799,-0.30350226163864136","0.3315003514289856,0.6212032437324524,-0.02896273136138916","0.5798522233963013,0.27808448672294617,-0.5943037271499634","0.3250235915184021,0.797355592250824,0.0013036030577495694","0.5829200148582458,0.22636866569519043,-0.6493399739265442","0.3155175447463989,0.8469998240470886,0.010256052017211914","0.5755788683891296,0.21228668093681335,-0.646519124507904","0.324643075466156,0.850369930267334,-0.03081858716905117","0.5728011727333069,0.23410159349441528,-0.6032302379608154","0.3296409845352173,0.8339282274246216,-0.010524962097406387","0.4598982632160187,0.7470148801803589,-0.002435897709801793","0.3862133026123047,0.7530993819236755,0.002669862937182188","0.4596153497695923,0.983736515045166,-0.02478417195379734","0.37704285979270935,0.9960095286369324,-0.0339486338198185","0.4723367989063263,1.1983623504638672,0.290963739156723","0.3770391047000885,1.1920039653778076,0.2620120346546173","0.47129586338996887,1.223471760749817,0.31743893027305603","0.37836501002311707,1.208513855934143,0.2869575321674347","0.4776509702205658,1.2751432657241821,0.19821855425834656","0.3853665888309479,1.2749295234680176,0.1406334489583969"
