gesture,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20]
0.0,"0.19393151998519897,0.4808904230594635,-1.2035543761612644e-07","0.22782553732395172,0.4484913647174835,-0.0068986364640295506","0.24943241477012634,0.3965309262275696,-0.012021173723042011","0.25468191504478455,0.3442360758781433,-0.01958373188972473","0.23635248839855194,0.3186325132846832,-0.027129128575325012","0.2282794713973999,0.3310289978981018,-0.0008674684213474393","0.22993433475494385,0.25624004006385803,-0.013246310874819756","0.23104701936244965,0.22463904321193695,-0.01864115335047245","0.2292332500219345,0.20591780543327332,-0.021133845672011375","0.20738641917705536,0.33731722831726074,-0.005151673220098019","0.21642175316810608,0.3007153868675232,-0.02351321652531624","0.21911339461803436,0.35947945713996887,-0.024922369047999382","0.21579788625240326,0.37844178080558777,-0.02107830159366131","0.1879490464925766,0.3474242687225342,-0.01151733286678791","0.19804081320762634,0.31441664695739746,-0.03186945244669914","0.2024761438369751,0.36855775117874146,-0.023928187787532806","0.19818776845932007,0.38656380772590637,-0.013438127934932709","0.16570399701595306,0.3612590432167053,-0.018572762608528137","0.17784667015075684,0.33419954776763916,-0.03008025698363781","0.18557599186897278,0.37058115005493164,-0.02185875177383423","0.18267929553985596,0.38832488656044006,-0.01303850393742323"
0.0,"0.1929958611726761,0.4859440326690674,-6.507311667292015e-08","0.22839711606502533,0.4542364776134491,-0.0075898547656834126","0.2516711950302124,0.4027828872203827,-0.011355920694768429","0.255573570728302,0.3501390516757965,-0.016765601933002472","0.23494094610214233,0.32442954182624817,-0.022505145519971848","0.2298242598772049,0.3384002447128296,0.00024918682174757123","0.23343610763549805,0.2752653956413269,-0.009664777666330338","0.23321093618869781,0.24072155356407166,-0.01506559643894434","0.22927476465702057,0.21152324974536896,-0.018689747899770737","0.20923562347888947,0.34161168336868286,-0.0029056339990347624","0.21923275291919708,0.30690842866897583,-0.020674383267760277","0.22087444365024567,0.3624035120010376,-0.02387048304080963","0.21510165929794312,0.3836687505245209,-0.02142697386443615","0.18921181559562683,0.35050126910209656,-0.007756801322102547","0.19938072562217712,0.3195371627807617,-0.02795918844640255","0.20260198414325714,0.3729385733604431,-0.0220659039914608","0.19644860923290253,0.3922780156135559,-0.012760874815285206","0.1666683554649353,0.3639061450958252,-0.013130427338182926","0.17966292798519135,0.33579394221305847,-0.025424541905522346","0.18588700890541077,0.3721705675125122,-0.01855108141899109","0.18102437257766724,0.3908448815345764,-0.010587730444967747"
0.0,"0.19279924035072327,0.49164050817489624,-2.336252862278343e-07","0.2302439957857132,0.4573158025741577,-0.0069647058844566345","0.2529333829879761,0.4064705967903137,-0.009832915849983692","0.25761353969573975,0.35178011655807495,-0.014387859962880611","0.23739945888519287,0.3294726014137268,-0.017199430614709854","0.23178040981292725,0.3476070165634155,0.0033477440010756254","0.2393442839384079,0.3012724816799164,-0.011706422083079815","0.23930653929710388,0.34740152955055237,-0.019783981144428253","0.23437143862247467,0.3713570833206177,-0.022805778309702873","0.2119087129831314,0.34866198897361755,0.0005821166560053825","0.21944859623908997,0.30911487340927124,-0.017225366085767746","0.2214125692844391,0.36814579367637634,-0.021991869434714317","0.21589863300323486,0.38881024718284607,-0.020779598504304886","0.1916714906692505,0.3564186096191406,-0.00462647620588541","0.20044119656085968,0.3225467801094055,-0.023328641429543495","0.2039969265460968,0.3775247037410736,-0.01880095712840557","0.19859431684017181,0.3973115086555481,-0.01041739247739315","0.16926909983158112,0.36825838685035706,-0.01023833453655243","0.1805683672428131,0.3382205367088318,-0.01970960758626461","0.18664050102233887,0.3751319348812103,-0.012724975124001503","0.18325172364711761,0.39347463846206665,-0.004638496786355972"
0.0,"0.19279517233371735,0.49106550216674805,-2.2056775605960866e-07","0.2298908829689026,0.4648919403553009,-0.00858204998075962","0.25504156947135925,0.4105747938156128,-0.010335518047213554","0.25773945450782776,0.353665292263031,-0.01259630173444748","0.23816034197807312,0.33183422684669495,-0.012627912685275078","0.23208241164684296,0.3529469668865204,0.0007108036079443991","0.23822030425071716,0.30823463201522827,-0.012693225406110287","0.23787029087543488,0.3574986159801483,-0.018275585025548935","0.23402757942676544,0.3777669668197632,-0.019863031804561615","0.2121494561433792,0.3541288375854492,-0.00042473169742152095","0.2184414267539978,0.31446975469589233,-0.01628262549638748","0.2202882021665573,0.37359315156936646,-0.01898903027176857","0.2156512439250946,0.39016568660736084,-0.016728969290852547","0.1922716498374939,0.3608293831348419,-0.003916468471288681","0.20035889744758606,0.32808050513267517,-0.021837923675775528","0.2030155211687088,0.3850705325603485,-0.01639477349817753","0.19790318608283997,0.40140241384506226,-0.007662933319807053","0.16993926465511322,0.37140676379203796,-0.007815259508788586","0.18157029151916504,0.34167471528053284,-0.01723547652363777","0.1862170547246933,0.38024309277534485,-0.010319615714251995","0.18210294842720032,0.3966374695301056,-0.0024141352623701096"
0.0,"0.1953546106815338,0.49005159735679626,-1.8445892635554628e-07","0.2295658439397812,0.4634978175163269,-0.00950768031179905","0.25503280758857727,0.41181573271751404,-0.012806304730474949","0.2583470940589905,0.35685503482818604,-0.01647237502038479","0.23751533031463623,0.3350472152233124,-0.017923664301633835","0.2314596027135849,0.3533018231391907,-0.0018630094127729535","0.2389710247516632,0.3066343665122986,-0.01589450053870678","0.2392405867576599,0.3564178943634033,-0.021832093596458435","0.23402492702007294,0.3780851662158966,-0.0235566608607769","0.21169809997081757,0.35466209053993225,-0.002981612691655755","0.21874049305915833,0.3162199556827545,-0.018828514963388443","0.2212858498096466,0.3760157525539398,-0.021808911114931107","0.2157461941242218,0.3918909728527069,-0.019911928102374077","0.19166193902492523,0.3622405529022217,-0.006330305710434914","0.19988110661506653,0.3317070007324219,-0.024137603119015694","0.2039201557636261,0.38745731115341187,-0.018856624141335487","0.19843973219394684,0.40280431509017944,-0.010417354293167591","0.1690848469734192,0.373546302318573,-0.010130558162927628","0.1808982640504837,0.3445379137992859,-0.019811425358057022","0.1869547963142395,0.3819962441921234,-0.012784194201231003","0.182721346616745,0.3985048234462738,-0.00474080815911293"
0.0,"0.19481439888477325,0.491698294878006,-1.9774324755417183e-07","0.22993481159210205,0.4670655429363251,-0.00987290684133768","0.2551812529563904,0.41459473967552185,-0.012668801471590996","0.2587294578552246,0.3587053418159485,-0.015662861987948418","0.2385055273771286,0.33554506301879883,-0.016229042783379555","0.2310227006673813,0.3555453419685364,-0.0010720357531681657","0.23834097385406494,0.3106815814971924,-0.015065878629684448","0.23878777027130127,0.3605489432811737,-0.020447196438908577","0.23422040045261383,0.3803994059562683,-0.02177676185965538","0.2115306705236435,0.35624459385871887,-0.0018957073334604502","0.21874482929706573,0.3176227807998657,-0.018258756026625633","0.2213228940963745,0.3778688609600067,-0.020805813372135162","0.21635229885578156,0.3927747309207916,-0.01824754849076271","0.19176137447357178,0.36283230781555176,-0.005163154099136591","0.20049995183944702,0.33288273215293884,-0.023805484175682068","0.203922301530838,0.38976648449897766,-0.018396319821476936","0.19830478727817535,0.40403613448143005,-0.009514492936432362","0.16939842700958252,0.37329787015914917,-0.008883193135261536","0.18206700682640076,0.3465979993343353,-0.019067255780100822","0.18726690113544464,0.38482582569122314,-0.012334730476140976","0.1822783648967743,0.3997653126716614,-0.004342416301369667"
0.0,"0.19563674926757812,0.49160268902778625,-2.0870213290891115e-07","0.23055888712406158,0.47194844484329224,-0.010205903090536594","0.255960077047348,0.4171306788921356,-0.01278464775532484","0.2604783773422241,0.3594580292701721,-0.015498741529881954","0.24041037261486053,0.3373081684112549,-0.015628701075911522","0.23327727615833282,0.35828423500061035,-0.001440966734662652","0.2406558096408844,0.31003519892692566,-0.015932874754071236","0.24000713229179382,0.3592112362384796,-0.021098323166370392","0.23493528366088867,0.3800206482410431,-0.021986564621329308","0.21314698457717896,0.3593364953994751,-0.001982599962502718","0.22025568783283234,0.32056790590286255,-0.018357986584305763","0.22205951809883118,0.38144537806510925,-0.020042024552822113","0.21714815497398376,0.39390018582344055,-0.016772789880633354","0.19339622557163239,0.36581575870513916,-0.005153709091246128","0.20205506682395935,0.33545565605163574,-0.023906076326966286","0.2049817591905594,0.39290478825569153,-0.017891237512230873","0.19933634996414185,0.4053918123245239,-0.008573590777814388","0.17138458788394928,0.3754562437534332,-0.008846993558108807","0.18379917740821838,0.34816768765449524,-0.019140951335430145","0.18847572803497314,0.3871742784976959,-0.012333019636571407","0.1834316849708557,0.40169718861579895,-0.004255350213497877"
0.0,"0.1947767585515976,0.49229076504707336,-1.8996600203990965e-07","0.22984710335731506,0.4688609838485718,-0.010434288531541824","0.25590431690216064,0.4168500304222107,-0.013819292187690735","0.25951364636421204,0.3608691990375519,-0.0172748863697052","0.23889154195785522,0.3372122347354889,-0.018234552815556526","0.23231083154678345,0.35810691118240356,-0.0022959427442401648","0.23955793678760529,0.31161031126976013,-0.01693188026547432","0.23990289866924286,0.361094206571579,-0.022903596982359886","0.23493783175945282,0.382214218378067,-0.024521183222532272","0.21273750066757202,0.35890161991119385,-0.002958257682621479","0.22012367844581604,0.32057610154151917,-0.019718986004590988","0.22244030237197876,0.3801725506782532,-0.022741073742508888","0.21685901284217834,0.3946983516216278,-0.020579565316438675","0.19299936294555664,0.36568376421928406,-0.006030751392245293","0.20151397585868835,0.33522313833236694,-0.024633832275867462","0.20505644381046295,0.39113783836364746,-0.019273245707154274","0.19934502243995667,0.40501856803894043,-0.01055973395705223","0.17086908221244812,0.3761901259422302,-0.009625456295907497","0.1834796667098999,0.3493826389312744,-0.019901540130376816","0.18874520063400269,0.38694772124290466,-0.013187039643526077","0.18359944224357605,0.4015307128429413,-0.005217041354626417"
0.0,"0.19455461204051971,0.4901179075241089,-1.8410131019663822e-07","0.22857238352298737,0.4683927297592163,-0.010775037109851837","0.254337340593338,0.4154922366142273,-0.014756915159523487","0.25810638070106506,0.3592577874660492,-0.01878911256790161","0.2369842380285263,0.3370276093482971,-0.020225392654538155","0.23089361190795898,0.3547467589378357,-0.0032517132349312305","0.23845066130161285,0.3084731698036194,-0.018066223710775375","0.23920787870883942,0.35858526825904846,-0.023559756577014923","0.2339780181646347,0.3785862922668457,-0.024756472557783127","0.21133828163146973,0.35644230246543884,-0.003860240802168846","0.21924586594104767,0.32082048058509827,-0.020105155184864998","0.22200417518615723,0.3818318545818329,-0.022087493911385536","0.21595588326454163,0.3923552334308624,-0.019386515021324158","0.1919957846403122,0.3643903434276581,-0.006913154851645231","0.20103022456169128,0.3358626961708069,-0.02546033076941967","0.20508922636508942,0.39265429973602295,-0.019284287467598915","0.19882705807685852,0.40371212363243103,-0.010201326571404934","0.17038846015930176,0.3759162724018097,-0.01050285343080759","0.18323759734630585,0.35066598653793335,-0.02072008326649666","0.18881018459796906,0.38881903886795044,-0.01348877139389515","0.18329769372940063,0.40228959918022156,-0.005221343599259853"
0.0,"0.1940644532442093,0.4890006184577942,-1.986047379887168e-07","0.2287977784872055,0.46525129675865173,-0.010165680199861526","0.25441068410873413,0.41269540786743164,-0.013602900318801403","0.2582882046699524,0.35684463381767273,-0.01714317314326763","0.2376404106616974,0.33449026942253113,-0.018051795661449432","0.23134878277778625,0.355254203081131,-0.002659057965502143","0.2393556833267212,0.30966681241989136,-0.017187362536787987","0.2390921264886856,0.36020487546920776,-0.02231348119676113","0.23321866989135742,0.3796066641807556,-0.023377491161227226","0.2117220014333725,0.3560124635696411,-0.003511006012558937","0.2195858210325241,0.3189697563648224,-0.02001880295574665","0.22157078981399536,0.37979066371917725,-0.021971188485622406","0.2155485600233078,0.3912447392940521,-0.019193202257156372","0.1922491490840912,0.36282113194465637,-0.006793132983148098","0.20135588943958282,0.3337680697441101,-0.02553452178835869","0.20473793148994446,0.39075130224227905,-0.019462671130895615","0.19841188192367554,0.4023350775241852,-0.010385378263890743","0.17061755061149597,0.3733654320240021,-0.010558719746768475","0.1839810311794281,0.3482011556625366,-0.02081865258514881","0.18887479603290558,0.3865033686161041,-0.013820947147905827","0.18296639621257782,0.3996371030807495,-0.0057838293723762035"
